Country,Median
Albania,0.6000258077412047
Armenia,0.5279763326654663
Austria,1.0051175066838745
Azerbaijan,0.4106046039688037
Belgium,1.009623783209579
Bulgaria,0.999801339653664
Switzerland,0.9870286974001508
Cyprus,0.7846256474697072
Czechia,0.9151499852759458
Germany,1.145996835492856
Denmark,0.9590388824523288
Estonia,1.0235959741271046
Greece,1.1787717494896082
Spain,1.0755086481120544
Finland,1.075484994243694
France,1.0804414070912616
Georgia,0.7256908024375126
Croatia,1.0194909800575525
Hungary,0.9356508327850404
Ireland,0.7280078575849022
Iceland,0.732941140038127
Italy,1.245180737981274
Liechtenstein,0.891058143079798
Lithuania,1.0406631508291528
Luxembourg,0.7791138043777212
Latvia,1.0419927653009928
Montenegro,0.7334098357299925
North Macedonia,0.6590852188119898
Malta,0.8698925707827615
Netherlands,0.9522920462650708
Norway,0.8791664576995208
Poland,0.8854110757947214
Portugal,1.1366040804960076
Romania,0.9203219744899276
Serbia,0.9553100746988517
Sweden,0.99753554412236
Slovenia,1.018269357385983
Slovakia,0.7796348121971421
Turkey,0.4667827584670986
Ukraine,0.8552453257856781
United Kingdom,0.9386939436423672
Europe**,1.0292299357676749
