Country,Cases
Afghanistan,16657.291776556776
Albania,18112.219776334776
Algeria,9010.0
Argentina,4029727.0
Australia,23444.18062982769
Austria,642175.8999999999
Bangladesh,346127.33218105417
Belgium,1062119.6750000003
Bolivia,0.0
Botswana,0.0
Bulgaria,415669.5
Burkina Faso,0.0
Cameroon,893.33529016029
Canada,62244.127617364116
Chad,1141.0
Chile,479448.71209956706
China,0.0
Colombia,4156663.0
Costa Rica,42197.60606837608
Czechia,1668418.0
Denmark,181175.89135281387
Dominican Republic,65964.58322510823
England,4037428.600000001
Eswatini,9122.890909090911
Ethiopia,193.70000000000005
Finland,1652.6432034632037
France,5464120.8999999985
Gambia,13.662121212121214
Germany,3698283.6
Greece,386849.19319347315
Haiti,2417.414142434685
Honduras,0.0
India,6471088.0
Indonesia,1323129.377857143
Iraq,0.0
Israel,44304.95532818534
Italy,1622518.8113492068
Jamaica,23513.232176140857
Japan,148635.16666666657
Jordan,313015.9619047619
Kenya,10578.503333333334
Latvia,1221.4333333333325
Malawi,3312.614047619048
Mexico,2456461.9
Moldova,109374.79259018759
Nepal,243389.25
Netherlands,236095.81428571432
New Zealand,328.3327960226919
Nicaragua,5560.784523809523
Nigeria,10442.662912801496
Northern Ireland,56795.284835164835
Norway,1564.3909523809527
Pakistan,80274.1
Panama,4732.030357142858
Paraguay,365707.10000000003
Peru,1990409.9999999998
Philippines,1345407.35
Portugal,851923.9500000001
Puerto Rico,137301.3396969697
Romania,20194.075000000004
Rwanda,7774.105281385281
Scotland,240881.59999999995
Sierra Leone,0.0
Slovakia,390072.9
Slovenia,255462.66666666674
Somalia,3151.4122500160647
South Korea,136270.0564102564
Spain,3734370.0
Sweden,563442.1114285715
Switzerland,510555.7528571427
Togo,5066.054136262846
Turkey,60344.19642857143
USA,3117445.7281746035
Uganda,966.2857142857143
Ukraine,841815.0626190475
Uruguay,22598.134606856118
Vietnam,45.0
